01_Posttype	02_by_Andersen	03_genre	04_main_title	04b_incipit	05_original_title	06_creator	06b_creator_is_human	07_opus	08_part_of	09_Krydshenvisning_til	10_Note	RegistryTitelID
standardpost	False	VocalAndInstrumentalMusic	Jylland	Jylland mellem tvende Have -		P. Heise	True					Reg001857
standardpost	False	VocalAndInstrumentalMusic	Kalanus			N. W. Gade	True	op. 48				Reg001867
standardpost	False	VocalAndInstrumentalMusic	Kantate ved Hr. Moritz Melchiors og Fru Dorothea Melchiors Sølvbryllup den 17de Juni 1871			J. A. Hägg	True					Reg001873
standardpost	False	VocalAndInstrumentalMusic		Kennst Du das Land -		J. F. Reichardt	True					Reg003649
standardpost	False	VocalAndInstrumentalMusic	Klaverkoncert, a-mol			August Winding	True	op. 12				Reg001906
standardpost	False	VocalAndInstrumentalMusic	[Klaver-Trio]			Th. B. Sick	True					Reg003547
standardpost	False	VocalAndInstrumentalMusic		Kong Christian stod ved høien Mast -								Reg003650
standardpost	False	VocalAndInstrumentalMusic	Korsfarerne			N. W. Gade	True	op. 58				Reg001939
standardpost	False	VocalAndInstrumentalMusic	Krigen derovre	Det var ved Paasketide -		N. P. Hillebrandt	True					Reg001945
standardpost	False	VocalAndInstrumentalMusic		La donna è mobile					af: Rigoletto, G. Verdi			Reg003652
standardpost	False	VocalAndInstrumentalMusic	The Last Rose of Summer			irsk Folkevise	False					Reg003214
standardpost	False	VocalAndInstrumentalMusic	Leonore-Ouverture Nr. 3			L. van Beethoven	True	op. 72a				Reg002108
standardpost	False	VocalAndInstrumentalMusic	Lieder ohne Pagte			F. Mendelssohn-Bartholdy	True					Reg002148
standardpost	False	VocalAndInstrumentalMusic		Lott ist todt								Reg003655
standardpost	False	VocalAndInstrumentalMusic	Længsels-Vals			L. Van Beethoven	True					Reg002217
standardpost	False	VocalAndInstrumentalMusic	Les Marionettes, Polka-Mazurka			Neumann	True					Reg002123
standardpost	False	VocalAndInstrumentalMusic	Marseillaisen			Rouget de Lisle	True					Reg002337
standardpost	False	VocalAndInstrumentalMusic	Messias			G. F. Händel	True					Reg002378
standardpost	False	VocalAndInstrumentalMusic	Miserere			Gregorio Allegri	True					Reg002412
standardpost	False	VocalAndInstrumentalMusic	Modersmaalet			H. Rung	True					Reg002421
standardpost	False	VocalAndInstrumentalMusic	Märzveilchen			Robert Schumann	True	op. 40 nr. 1				Reg002449
standardpost	False	VocalAndInstrumentalMusic	Der Mönch			G. Meyerbeer	True					Reg000796
standardpost	False	VocalAndInstrumentalMusic	Nat i Skoven			J. P. E. Hartmann	True		af H.C. Andersens Intermedium til »Kildereisen«			Reg002476
standardpost	False	VocalAndInstrumentalMusic	Neckens polska			svensk Folkemelodi	False					Reg002484
standardpost	False	VocalAndInstrumentalMusic	Die Neckrose			N. W. Gade	True					Reg000901
krydshenvisning	False	VocalAndInstrumentalMusic	N° 3							Annen-Polka		Reg002571
standardpost	False	VocalAndInstrumentalMusic	Noël		Weihnachtslied	Robert Schumann	True	op. 79 nr. 17				Reg002535
standardpost	False	VocalAndInstrumentalMusic	Novellette i sex Smaastykker, f. Pfte			J. P. E. Hartmann	True	op. 55b				Reg002534
standardpost	False	VocalAndInstrumentalMusic	Nøkken			Ole Bull	True					Reg002577
standardpost	False	VocalAndInstrumentalMusic	Oktet, F-Dur			N. W. Gade	True	op. 17				Reg002597
standardpost	False	VocalAndInstrumentalMusic	Olav Trygvason	Brede Seil over Nordsjø gaar -		R. Nordraak	True					Reg002598
krydshenvisning	False	VocalAndInstrumentalMusic	Ossian-Ouverturen							Efterklange af Ossian		Reg002630
standardpost	False	VocalAndInstrumentalMusic	Paulus			F. Mendelssohn-Bartholdy	True	op. 36				Reg002662
standardpost	False	VocalAndInstrumentalMusic	Peer og Maren			E. Horneman	True					Reg002668
standardpost	False	VocalAndInstrumentalMusic	Pensée			Karl Riccius	True					Reg002672
standardpost	False	VocalAndInstrumentalMusic	Phantasie über »Robert der Teufel«			Franz Liszt	True					Reg002679
standardpost	False	VocalAndInstrumentalMusic	Requiem			Michael Haydn	True					Reg002796
standardpost	False	VocalAndInstrumentalMusic	Requiem			W. A. Mozart	True					Reg002797
standardpost	False	VocalAndInstrumentalMusic	Romance			R. Nordraak	True					Reg002835
standardpost	False	VocalAndInstrumentalMusic	Romance for Violin med Klaver, G-dur			L. van Beethoven	True	op. 40				Reg002836
standardpost	False	VocalAndInstrumentalMusic	Romancer og Sange			C. E. F. Weyse	True					Reg002837
standardpost	False	VocalAndInstrumentalMusic	Roselil og hendes Moder -			Folkemelodi	False					Reg002851
standardpost	False	VocalAndInstrumentalMusic		Schleswig-Holstein meerumschlungen		Carl Gottlieb Bellmann	True					Reg003667
standardpost	False	VocalAndInstrumentalMusic		See Søen hist, hvor Solen daler -								Reg003669
standardpost	False	VocalAndInstrumentalMusic	Serenade			Henry Holmes	True					Reg002982
standardpost	False	VocalAndInstrumentalMusic	Sex Karakteerstykker, komponerede som Studier for Klaver, med indledende Smaavers af H. C. Andersen			J. P. E. Hartmann	True	op. 50				Reg002985
standardpost	False	VocalAndInstrumentalMusic	Sigurd Slembe, Musik til -, for Solo, Chor og Orkester			R. Nordraak	True					Reg002995
standardpost	False	VocalAndInstrumentalMusic	Slaget ved Fredericia			Henrik Rung	True					Reg003034
standardpost	False	VocalAndInstrumentalMusic	Der Sohn der Wüste			Heinrich Riccius	True					Reg000806
standardpost	False	VocalAndInstrumentalMusic		Solen gaar bag Aasen ned -		W. Thrane	True					Reg003674
standardpost	False	VocalAndInstrumentalMusic	Der Soldat			Robert Schumann	True	op. 40 nr. 3				Reg000807
standardpost	False	VocalAndInstrumentalMusic	Sommerfuglen			J. P. E. Hartmann	True				(= Nr. 2 af Sex Karakteerstykker op. 50)	Reg003062
standardpost	False	VocalAndInstrumentalMusic	Der Spielmann			Robert Schumann	True	op. 40 nr. 4				Reg000810
standardpost	False	VocalAndInstrumentalMusic	Stabat mater			Volkmar Busch	True					Reg003092
standardpost	False	VocalAndInstrumentalMusic	Studenten fra Lund			J. A. Hägg	True					Reg003122
standardpost	False	VocalAndInstrumentalMusic	Studenternes Sang ved Thorvaldsens Bisættelse			J. P. E. Hartmann	True					Reg003123
standardpost	False	VocalAndInstrumentalMusic	Studier og Novelletter		for Klaver	J. P. E. Hartmann	True	op. 65				Reg003125
standardpost	False	VocalAndInstrumentalMusic	Symfoni Nr. 1, c-mol			N. W. Gade	True	op. 5				Reg003150
standardpost	False	VocalAndInstrumentalMusic	Symfoni Nr. 2, e-mol			Emil Hartmann	True					Reg003151
standardpost	False	VocalAndInstrumentalMusic	Symfoni Nr. 7, A-dur			L. van Beethoven	True	op. 92				Reg003152
standardpost	False	VocalAndInstrumentalMusic	Sørge-Cantate over Høisalig Kong Frederik den Sjette			J.P.E. Hartmann	True	op. 27				Reg003169
standardpost	False	VocalAndInstrumentalMusic	Sørgemarsch ved Thorvaldsens Bisættelse			J. P. E. Hartmann	True					Reg003170
standardpost	False	VocalAndInstrumentalMusic	Den sørgende Jødinde, af H. C. Andersens Ahasverus, f. Sopransolo, Damekor og Orkester			J. P. E. Hartmann	True					Reg000758
standardpost	False	VocalAndInstrumentalMusic	Den tappre Landsoldat			E. Horneman	True					Reg000759
standardpost	False	VocalAndInstrumentalMusic	Tarantelle			Ole Bull	True					Reg003189
standardpost	False	VocalAndInstrumentalMusic		Te voglio bene -		napolitansk Folkevise	False					Reg003676
standardpost	False	VocalAndInstrumentalMusic	Terpsichore-Vals			Carl Edström	True					Reg003198
standardpost	False	VocalAndInstrumentalMusic	Thrymskviden. Gudernes Indtogsmarch			J. P. E. Hartmann	True	op. 67				Reg003243
standardpost	False	VocalAndInstrumentalMusic	Til Kong Frederik VII.s Minde, Studenterforeningen 20.12.1863			C. J. Hansen	True					Reg003254
standardpost	False	VocalAndInstrumentalMusic	Tre Klaverstykker		Mazurka - Largo - Mazurka	G. Matthison-Hansen	True					Reg003312
standardpost	False	VocalAndInstrumentalMusic	Il trillo di diavolo			G. Tartini	True					Reg001723
standardpost	False	VocalAndInstrumentalMusic	Trio for Klaver, Violin og Violoncel, F-dur			N. W. Gade	True	op. 42				Reg003320
standardpost	False	VocalAndInstrumentalMusic	Vandring i Skoven			Edvard Grieg	True	op. 18 nr. 1				Reg003407
standardpost	False	VocalAndInstrumentalMusic	Le vieux soldat			François Riga	True					Reg002099
standardpost	False	VocalAndInstrumentalMusic		Vift stolt paa Codans Bølge		R. Bay	True					Reg003678
standardpost	False	VocalAndInstrumentalMusic		Vintern rasat ut bland våra fjällar -		Otto Lindblad	True					Reg003680
standardpost	False	VocalAndInstrumentalMusic		Vor Gud han er saa fast en Borg -								Reg003681
standardpost	False	VocalAndInstrumentalMusic	Der Wanderer			Fr. Schubert	True					Reg000820
standardpost	False	VocalAndInstrumentalMusic	Weihe der Töne		Symfoni Nr. 4, F-dur	L. Spohr	True	op. 86				Reg003489
standardpost	False	VocalAndInstrumentalMusic	Zigeunermärchen, af Goethes Götz von Berlichingen, f. Mezzosopran, Kor og Orkester			J. P. E. Hartmann	True					Reg003526
standardpost	False	VocalAndInstrumentalMusic	Ørkenens Søn			P. Heise	True					Reg003701
