01_Posttype	02_by_Andersen	03_genre	04_main_title	05_original_title	06_creator	07_part_of	08_Se_ogsaa	09_Krydshenvisning_til	10_cited_directly	11_Note	RegistryTitelID
standardpost	False	NovelsPlaysTales	De fjerne Høje		Johanne Schjørring				True		Reg000638
standardpost	False	NovelsPlaysTales	Fortids Skygge		Anna Sønderup				True		Reg001331
standardpost	False	NovelsPlaysTales	Fortælling om Haldor		C. Hauch				True		Reg001335
standardpost	False	NovelsPlaysTales	Fortællinger af l		Cornelia von Levetzow				True		Reg001336
standardpost	False	NovelsPlaysTales	Fortællinger og Skitser af Klok		J. Krohn				True		Reg001337
standardpost	False	NovelsPlaysTales	Fortællinger og Skitser. Paa Dansk ved Vilhelm Møller. I		I. Turgenjev				True		Reg001338
standardpost	False	NovelsPlaysTales	Fortællinger og Skizzer		Johanne Schjørring				True		Reg001339
standardpost	False	NovelsPlaysTales	Fra den gamle Fabrik		Vilh. Bergsøe				True		Reg001348
standardpost	False	NovelsPlaysTales	Fra et Hjørne af Kirkegaarden		Carl Bruun				True		Reg001351
standardpost	False	NovelsPlaysTales	Fra Piazza del Popolo		Vilhelm Bergsøe				True		Reg001347
standardpost	False	NovelsPlaysTales	Den Fremsynte		Jonas Lie				True		Reg000675
standardpost	False	NovelsPlaysTales	En Gaade		Carl Bernhard				True		Reg001079
standardpost	False	NovelsPlaysTales	Den gamle Borg		Henriette Brandis				True		Reg000707
standardpost	False	NovelsPlaysTales	Den gamle Gravmand	Old Mortality	W. Scott				True		Reg000709
standardpost	False	NovelsPlaysTales	Gamle Jomfru Trægaards Erindringer		Henriette Brandis				True		Reg001414
standardpost	False	NovelsPlaysTales	En Geistligs Nytaarsnat		Anonym				True		Reg001080
standardpost	False	NovelsPlaysTales	Genrebilleder		Carl Andersen				True		Reg001440
standardpost	False	NovelsPlaysTales	Georg und die Störche. Ein Märchen der Ipsarioten						True		Reg001441
standardpost	False	NovelsPlaysTales	The Gingerbread Maiden		Laura Friswell				True		Reg003210
standardpost	False	NovelsPlaysTales	Gisella		John Palgrave Simpson				True		Reg001453
standardpost	False	NovelsPlaysTales	En glad Gut		B. Bjørnson				True		Reg001134
standardpost	False	NovelsPlaysTales	Grannarne		Fredrika Bremer				True		Reg001475
standardpost	False	NovelsPlaysTales	Greven af Monte-Christo		A. Dumas peré				True		Reg001487
standardpost	False	NovelsPlaysTales	Gud ved, hvortil det er godt! Af N. N. Anonymus udi egen Indbildning		Oluf Lundt Bang				True		Reg001497
standardpost	False	NovelsPlaysTales	Guldhønen		B. S. Ingemann				True		Reg001501
standardpost	False	NovelsPlaysTales	Guldmageren		C. Hauch				True		Reg001503
standardpost	False	NovelsPlaysTales	Guy Mannering		W. Scott				True		Reg001512
standardpost	False	NovelsPlaysTales	Die Hallig		J. Biernatzki				True		Reg000883
standardpost	False	NovelsPlaysTales	Hannchen und die Küchlein		Gottlob Eberhard				True		Reg001528
standardpost	False	NovelsPlaysTales	Hans Stürzebecher und sein Sohn		K. G. Cramer				True		Reg001534
standardpost	False	NovelsPlaysTales	Hausschatz deutscher Prosa		Bernhard Wolff				True	Skolebog	Reg001539
standardpost	False	NovelsPlaysTales	Herremænd		Carit Etlar				True		Reg001582
standardpost	False	NovelsPlaysTales	Das Heimchen am Herde		Ch. Dickens		The Cricket on the Hearth		True		Reg000594
standardpost	False	NovelsPlaysTales	Heinrich von Ofterdingen		Novalis				True		Reg001548
standardpost	False	NovelsPlaysTales	Heloise		Talvj Ͻ: Therese A. L. von Jacob, g. Robinson				True		Reg001555
standardpost	False	NovelsPlaysTales	Herr und Diener		L. Kruse				True		Reg001580
standardpost	False	NovelsPlaysTales	En Historie fra de fattige Steder		L. Budde				True		Reg001086
standardpost	False	NovelsPlaysTales	En Historie om Vinden		L. Budde				True		Reg001087
standardpost	False	NovelsPlaysTales	Hjalmar og Solblink		J. C. Gerson				True		Reg001608
standardpost	False	NovelsPlaysTales	Hjemlige Fortællinger		Ulla Maria				True		Reg001609
standardpost	False	NovelsPlaysTales	Hjemmefra		H. Tolderlund				True		Reg001610
standardpost	False	NovelsPlaysTales	Holger Danske		Folkebogen				True		Reg001621
standardpost	False	NovelsPlaysTales	Hroars Saga		A. Oehlenschlæger				True		Reg001642
standardpost	False	NovelsPlaysTales	Humphry Clinkers Reise		Tobias Smollett				True		Reg001648
standardpost	False	NovelsPlaysTales	Hvad er Livet?		Elisabeth Martens				True		Reg001659
standardpost	False	NovelsPlaysTales	Hvorledes fanger man en Solstraale. En Julegave efter det Engelske		Matilda Anne Mackarness				True		Reg001666
standardpost	False	NovelsPlaysTales	Hölty. Roman		Friedrich Voigts				True		Reg001677
standardpost	False	NovelsPlaysTales	I Naadsensaaret		Chr. Winther				True		Reg001688
standardpost	False	NovelsPlaysTales	Im Walde		Julie Burow				True		Reg001736
standardpost	False	NovelsPlaysTales	Ivar Lykkes Historie		Fr. Paludan-Milller				True		Reg001762
standardpost	False	NovelsPlaysTales	Jane Eyre		Charlotte Brontë				True		Reg001775
standardpost	False	NovelsPlaysTales	Johan Gordon		P. E. Lind				True		Reg001805
standardpost	False	NovelsPlaysTales	Joseph Rushbrook		Frederick Marryat				True		Reg001823
standardpost	False	NovelsPlaysTales	Julekongen		Iver og Julia Rosenkrantz				True		Reg001839
standardpost	False	NovelsPlaysTales	Jøderne paa Hald		St. St. Blicher				True		Reg001861
standardpost	False	NovelsPlaysTales	Kastaniebaandet. Novelle af Paul Winther		Clara Andersen				True		Reg001878
standardpost	False	NovelsPlaysTales	En Katekisation		P. Chr. Asbjørnsen				True		Reg001093
standardpost	False	NovelsPlaysTales	Kejserinden af Spinetta		Paul Heyse				True		Reg001888
standardpost	False	NovelsPlaysTales	KenilPagth		W. Scott				True		Reg001889
krydshenvisning	False	NovelsPlaysTales	Kirkens Datter (O.C. Lund)					Zitta, Domkirkens Datter	True		Reg001894
standardpost	False	NovelsPlaysTales	Klein Zaches, genannt Zinnober		E. Th. A. Hoffmann				True		Reg001908
standardpost	False	NovelsPlaysTales	Knud Nielsen		Cornelia von Levetzow	Livsbilleder af I			True		Reg001918
inferred_container	False	NovelsPlaysTales	Livsbilleder af I		Cornelia von Levetzow				False		
standardpost	False	NovelsPlaysTales	Der Komet oder Nicolaus Marggraf		Jean Paul				True		Reg000789
standardpost	False	NovelsPlaysTales	Kong Hjort		Thomasine Gyllembourg				True		Reg001923
standardpost	False	NovelsPlaysTales	Kong Lear paa Heden	Steppens Kong Lear	I. Turgenjev				True		Reg001925
standardpost	False	NovelsPlaysTales	Krøniker fra Kong Erik af Pommerns Tid		Carl Bernhard				True		Reg001952
standardpost	False	NovelsPlaysTales	Landsbybørnene		B. S. Ingemann				True		Reg002035
standardpost	False	NovelsPlaysTales	Landsbydoctoren		St. St. Blicher				True		Reg002036
standardpost	False	NovelsPlaysTales	Lars og Mette		A. Rosenkilde				True		Reg002042
standardpost	False	NovelsPlaysTales	The Last of the Barons		Edward Bulwer				True		Reg003215
standardpost	False	NovelsPlaysTales	Die Leiden des jungen Werthers		J. W. von Goethe				True		Reg000894
standardpost	False	NovelsPlaysTales	Lieutenant Jergunovs Eventyr		I. Turgenjev				True		Reg002150
standardpost	False	NovelsPlaysTales	Littie Dorrit		Charles Dickens				True		Reg002161
standardpost	False	NovelsPlaysTales	Livets Conflicter		Carit Etlar				True		Reg002163
standardpost	False	NovelsPlaysTales	Livsbilleder af I		Cornelia v. Levetzow				True		Reg002167
standardpost	False	NovelsPlaysTales	Lodsen og hans Hustru		Jonas Lie				True		Reg002170
standardpost	False	NovelsPlaysTales	De lotgevallen van Klaasje Zevenster		Jakob van Lennep				True		Reg000643
standardpost	False	NovelsPlaysTales	Lys og Skygge		Henriette Brandis				True		Reg002211
standardpost	False	NovelsPlaysTales	Majoratet		E. Th. A. Hoffmann				True		Reg002286
standardpost	False	NovelsPlaysTales	Manden, som ler		V. Hugo				True		Reg002294
standardpost	False	NovelsPlaysTales	Marmaduke Herbert or The Fatal Error		Lady Marguerite Blessington				True		Reg002336
standardpost	False	NovelsPlaysTales	Master Humphreys Wanduhr	Master Humphrey's Clock	Charles Dickens				True		Reg002344
